CID,CYCLE,INDVIS,ORG_NAME,PACS,TOTAL,SOURCE
N00000179,2020,0,Laborers Union,10000,10000
N00000179,2020,0,National Assn of Letter Carriers,10000,10000
N00000179,2020,0,National Beer Wholesalers Assn,10000,10000
N00000179,2020,0,Operating Engineers Union,10000,10000
N00000179,2020,0,Painters & Allied Trades Union,10000,10000
N00000179,2020,5000,Service Employees International Union,10000,15000
N00000179,2020,11200,Harry Miller Co,0,11200
N00000179,2020,0,American Crystal Sugar,10000,10000
N00000179,2020,0,American Federation of State/Cnty/Munic Employees,10000,10000
N00000179,2020,0,American Federation of Teachers,10000,10000
N00000179,2020,0,American Society of Anesthesiologists,10000,10000
N00000179,2020,0,Carpenters & Joiners Union,10000,10000
N00000179,2020,0,Machinists/Aerospace Workers Union,10000,10000
N00000179,2020,0,National Assn of Letter Carriers,10000,10000
N00000179,2020,0,National Assn of Realtors,10000,10000
N00000265,2020,0,Unaka Corp,2800,2800
N00000265,2020,0,Lincoln Movement PAC,750,750
N00000270,2022,44650,Wilmerhale Llp,0,44650
N00000270,2022,16000,Northwest Biotherapeutics,0,16000
N00000270,2022,0,Brotherhood of Railroad Signalmen,11400,11400
N00000270,2022,11200,View,0,11200
N00000270,2022,8700,"Kleiner, Perkins et al",0,8700
N00000270,2022,7800,Carnival Corp,0,7800
N00000270,2022,1500,INCOMPAS,5000,6500
N00000270,2022,6240,Alphabet Inc,0,6240
N00000270,2022,5800,BLS Investments,0,5800
N00000270,2022,5800,Cafritz Foundation,0,5800
N00000270,2022,128733,Democracy Engine,0,128733
N00000270,2022,107688,Harvard University,0,107688
N00000270,2022,64389,Apollo Global Management,0,64389
N00000270,2022,52712,Alphabet Inc,0,52712
N00000270,2022,51470,Commonwealth of Massachusetts,0,51470
N00000270,2022,41425,Blackstone Group,0,41425
N00000270,2022,39892,Boston University,0,39892
N00000270,2022,39472,WilmerHale LLP,0,39472
N00000270,2022,37022,Mass General Brigham,0,37022
N00000270,2022,33087,Massachusetts Institute of Technology,0,33087
N00000270,2020,44650,Wilmerhale Llp,0,44650
N00000270,2020,16000,Northwest Biotherapeutics,0,16000
N00000270,2020,0,Brotherhood of Railroad Signalmen,11400,11400
N00000270,2020,11200,View,0,11200
N00000270,2020,8700,"Kleiner, Perkins et al",0,8700
N00000270,2020,7800,Carnival Corp,0,7800
N00000270,2020,1500,INCOMPAS,5000,6500
N00000270,2020,6240,Alphabet Inc,0,6240
N00000270,2020,5800,BLS Investments,0,5800
N00000270,2020,5800,Cafritz Foundation,0,5800
N00000270,2020,128733,Democracy Engine,0,128733
N00000270,2020,107688,Harvard University,0,107688
N00000270,2020,64389,Apollo Global Management,0,64389
N00000270,2020,52712,Alphabet Inc,0,52712
N00000270,2020,51470,Commonwealth of Massachusetts,0,51470
N00000270,2020,41425,Blackstone Group,0,41425
N00000270,2020,39892,Boston University,0,39892
N00000270,2020,39472,WilmerHale LLP,0,39472
N00000270,2020,37022,Mass General Brigham,0,37022
N00000270,2020,33087,Massachusetts Institute of Technology,0,33087
N00000362,2022,19000,General Atomics,0,19000
N00000362,2022,14500,Starkey Hearing Technologies,2500,17000
N00000362,2022,8500,Raytheon Technologies,2000,10500
N00000362,2022,0,Plumbers/Pipefitters Union,8000,8000
N00000362,2022,0,L3Harris Technologies,7500,7500
N00000362,2022,0,Laborers Union,7500,7500
N00000362,2022,6500,Dimeo Construction,0,6500
N00000362,2022,0,Serco Group,6500,6500
N00000362,2022,5800,Kapco Holdings,0,5800
N00000362,2022,0,Amazon.com,5000,5000
N00000362,2022,47800,Lockheed Martin,7000,54800
N00000362,2022,39625,L3Harris Technologies,5000,44625
