CYCLE,ORGID,ORGNAME,TOTAL,INDIVS,PACS,SOFT,TOT527,DEMS,REPUBS,LOBBYING,OUTSIDE,MEMS_INVESTED,GAVE_TO_PAC,GAVE_TO_PARTY,GAVE_TO_527,GAVE_TO_CAND,SOURCE
2022,D000000077,Service Employees International Union,17261362,218209,1452413,15590740,0,1662904,703,970861,3919256,0,1409,329251,1285701,0,www.opensecrets.org/orgs/summary.php?id=D000000077
2020,D000091891,Schechter Law Firm,66202,66202,0,0,0,66202,0,0,0,0,0,28210,37992,0,www.opensecrets.org/orgs/summary.php?id=D000091891
2022,D000023936,American College of Nurse-Midwives,41575,75,41500,0,0,34575,7000,15000,0,0,0,0,41575,0,www.opensecrets.org/orgs/summary.php?id=D000023936
2022,D000096107,Executive Affiliates Inc,572550,570050,0,2500,0,520700,49350,0,0,0,0,73250,431400,0,www.opensecrets.org/orgs/summary.php?id=D000096107
2022,D000068653,No Labels,2036489,1851489,185000,0,0,801598,1234891,0,0,0,0,0,2036489,0,www.opensecrets.org/orgs/summary.php?id=D000068653
2022,D000089420,Campbell & Co (Maryland),17350,17350,0,0,0,17100,250,0,0,0,0,250,17100,0,www.opensecrets.org/orgs/summary.php?id=D000089420
2022,D000084393,Campbell & Co Northwest,150,0,0,150,0,0,0,0,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000084393
2022,D000032258,Campbell & Levine,39450,39450,0,0,0,39450,0,0,0,0,0,0,39450,0,www.opensecrets.org/orgs/summary.php?id=D000032258
2020,D000043731,Campbell Alliance,21800,21800,0,0,0,21600,200,0,0,0,0,10000,11800,0,www.opensecrets.org/orgs/summary.php?id=D000043731
2012,D000032259,Campbell for Colorado,9000,0,9000,0,0,0,9000,0,0,0,0,0,9000,0,www.opensecrets.org/orgs/summary.php?id=D000032259
2022,D000060529,Campbell Foundation,760,760,0,0,0,760,0,0,0,0,0,0,760,0,www.opensecrets.org/orgs/summary.php?id=D000060529
2020,D000081731,Campbell Foundry Co,1,1,0,0,0,1,0,0,0,0,0,0,1,0,www.opensecrets.org/orgs/summary.php?id=D000081731
2020,D000083147,Campbell Global,2000,2000,0,0,0,1403,597,0,0,0,0,50,1950,0,www.opensecrets.org/orgs/summary.php?id=D000083147
2020,D000060530,Campbell Group,140,140,0,0,0,140,0,0,0,0,0,0,140,0,www.opensecrets.org/orgs/summary.php?id=D000060530
2022,D000085542,Campbell Group (Michigan),400,400,0,0,0,0,400,0,0,0,0,0,400,0,www.opensecrets.org/orgs/summary.php?id=D000085542
2012,D000085551,Campbell Group (South Carolina),6000,6000,0,0,0,5500,500,0,0,0,0,0,6000,0,www.opensecrets.org/orgs/summary.php?id=D000085551
2016,D000084179,Campbell Group (Tennessee),300,300,0,0,0,0,300,0,0,0,0,0,300,0,www.opensecrets.org/orgs/summary.php?id=D000084179
2016,D000032260,Campbell Industries,7450,7450,0,0,0,0,7450,0,0,0,0,4000,3450,0,www.opensecrets.org/orgs/summary.php?id=D000032260
2022,D000094005,Campbell Kibler Assoc,17900,17900,0,0,0,17900,0,0,0,0,0,0,17900,0,www.opensecrets.org/orgs/summary.php?id=D000094005
2022,D000060531,Campbell Law Firm,6100,6100,0,0,0,6100,0,0,0,0,0,1700,4400,0,www.opensecrets.org/orgs/summary.php?id=D000060531
2022,D000024598,Campbell Soup,16185,16185,0,0,0,12126,4059,100000,0,0,86,948,14118,0,www.opensecrets.org/orgs/summary.php?id=D000024598
2022,D000077812,Campbell Strategy & Advocacy,2500,0,0,2500,0,0,0,0,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000077812
2016,D000033519,Estate of James Campbell,1000,1000,0,0,0,1000,0,0,0,0,0,0,1000,0,www.opensecrets.org/orgs/summary.php?id=D000033519
2022,D000074205,Gilbert Campbell Real Estate,17900,17900,0,0,0,5700,12200,0,0,0,0,0,17900,0,www.opensecrets.org/orgs/summary.php?id=D000074205
2022,D000052497,James Campbell Co,3500,3500,0,0,0,3500,0,0,0,0,0,0,3000,0,www.opensecrets.org/orgs/summary.php?id=D000052497
2014,D000034888,John Campbell for Congress,14000,0,14000,0,0,0,14000,0,0,0,0,0,14000,0,www.opensecrets.org/orgs/summary.php?id=D000034888
2020,D000035191,"Krupnick, Campbell et al",3005,3005,0,0,0,1005,2000,0,0,0,0,0,3005,0,www.opensecrets.org/orgs/summary.php?id=D000035191
2022,D000045207,Swartz Campbell Llc,75,75,0,0,0,75,0,0,0,0,0,25,50,0,www.opensecrets.org/orgs/summary.php?id=D000045207
2022,D000032997,Curb Records,150400,150400,0,0,0,7400,143000,0,0,0,0,0,135400,0,www.opensecrets.org/orgs/summary.php?id=D000032997
2022,D000000153,National Rural Electric Cooperative Assn,1836858,7358,1824000,5500,0,823208,1008150,1240000,0,0,0,122400,1436708,0,www.opensecrets.org/orgs/summary.php?id=D000000153
2022,D000021853,Automotive Free International Trade PAC,1081500,0,1071500,10000,0,50000,1021500,0,0,0,0,60000,706500,0,www.opensecrets.org/orgs/summary.php?id=D000021853
2022,D000023934,American Clinical Laboratory Assn,71000,1000,70000,0,0,38500,32500,2021584,0,0,0,0,71000,0,www.opensecrets.org/orgs/summary.php?id=D000023934
2022,D000000344,Greenberg Traurig LLP,994534,722132,265900,6502,0,678680,309102,0,0,0,860,111184,810588,0,www.opensecrets.org/orgs/summary.php?id=D000000344
2022,D000019839,Federation of American Hospitals,604350,13850,589500,1000,0,302050,301300,1540000,0,0,0,60000,386350,0,www.opensecrets.org/orgs/summary.php?id=D000019839
2022,D000088118,Bluewater Partners,74800,74800,0,0,0,74800,0,0,0,0,0,0,49800,0,www.opensecrets.org/orgs/summary.php?id=D000088118
2022,D000051527,Greenstreet Partners,23200,23200,0,0,0,23200,0,0,0,0,0,0,17400,0,www.opensecrets.org/orgs/summary.php?id=D000051527
2022,D000047063,American Superconductor,126250,126250,0,0,0,80850,45400,120000,0,0,0,0,109250,0,www.opensecrets.org/orgs/summary.php?id=D000047063
2022,D000000136,Credit Union National Assn,3118949,35574,3062000,21375,0,1650009,1447565,2627000,1400135,0,0,259925,2449939,0,www.opensecrets.org/orgs/summary.php?id=D000000136
2022,D000030657,University of Florida,232818,227666,0,5152,0,163448,63535,50066,0,0,2365,77201,144815,0,www.opensecrets.org/orgs/summary.php?id=D000030657
2022,D000056643,University of Florida Health,11723,10441,0,1282,0,2367,7822,0,0,0,0,3374,6869,0,www.opensecrets.org/orgs/summary.php?id=D000056643
2022,D000036965,Rapoza Assoc,8310,8310,0,0,0,8310,0,0,0,0,0,1000,6310,0,www.opensecrets.org/orgs/summary.php?id=D000036965
2022,D000044659,Armour Properties,35700,35700,0,0,0,0,35700,0,0,0,0,0,23200,0,www.opensecrets.org/orgs/summary.php?id=D000044659
2022,D000037466,Seminole Tribe of Florida,147722,147472,0,250,0,127010,20462,330000,0,0,0,73060,69412,0,www.opensecrets.org/orgs/summary.php?id=D000037466
2022,D000022036,Huntsman Corp,168966,62966,106000,0,0,81990,86976,477500,0,0,0,1341,161625,0,www.opensecrets.org/orgs/summary.php?id=D000022036
2022,D000037786,State of Alabama,79530,79280,0,250,0,34714,44566,90000,0,0,0,46658,30988,0,www.opensecrets.org/orgs/summary.php?id=D000037786
2020,D000095241,Waterlines,122150,97150,0,25000,0,97150,0,0,0,0,0,41200,50950,0,www.opensecrets.org/orgs/summary.php?id=D000095241
2022,D000036546,"Patten, Wornom et al",57150,57150,0,0,0,57150,0,0,0,0,0,750,56400,0,www.opensecrets.org/orgs/summary.php?id=D000036546
2022,D000066716,Rock Holdings,3299354,1539640,1726000,33714,0,1554150,1711370,0,0,0,0,684985,2010455,0,www.opensecrets.org/orgs/summary.php?id=D000066716
2022,D000037504,Shamrock Holdings,13850,13850,0,0,0,13800,50,0,0,0,0,5600,8250,0,www.opensecrets.org/orgs/summary.php?id=D000037504
2022,D000022215,Reed Smith LLP,280488,269876,0,10612,0,261430,8201,0,0,0,172,48299,208501,0,www.opensecrets.org/orgs/summary.php?id=D000022215
2022,D000092409,Brett Robinson Real Estate,64100,64100,0,0,0,2950,61150,0,0,0,0,0,53360,0,www.opensecrets.org/orgs/summary.php?id=D000092409
2022,D000000477,Duke Energy,838277,118677,677000,42600,0,277279,517645,3090000,0,0,59,115801,578514,0,www.opensecrets.org/orgs/summary.php?id=D000000477
2022,D000043220,Rochester Athletic Club,17866,17866,0,0,0,0,17866,0,0,0,0,3200,14666,0,www.opensecrets.org/orgs/summary.php?id=D000043220
2022,D000076711,Weiner Law Group,41100,39100,0,2000,0,27500,11600,0,0,0,0,10000,29100,0,www.opensecrets.org/orgs/summary.php?id=D000076711
2022,D000021907,Cerberus Capital Management,1795094,887058,52500,855536,0,134997,800135,2555000,0,0,597,566613,301926,0,www.opensecrets.org/orgs/summary.php?id=D000021907
2022,D000000222,Cigna Corp,1642799,346967,1291800,4032,0,803677,834489,4610000,0,0,25,365410,1076248,0,www.opensecrets.org/orgs/summary.php?id=D000000222
2022,D000095515,theGROUP,347685,347685,0,0,0,335435,12250,0,0,0,0,0,294435,0,www.opensecrets.org/orgs/summary.php?id=D000095515
2022,D000071636,theGroup DC,19275,19275,0,0,0,8375,10900,0,0,0,0,1000,18275,0,www.opensecrets.org/orgs/summary.php?id=D000071636
2022,D000042784,Trinchero Family Estates,15800,15800,0,0,0,15800,0,0,0,0,0,0,15800,0,www.opensecrets.org/orgs/summary.php?id=D000042784
2022,D000000750,Stanford University,2322672,1766022,0,556650,0,1704916,50297,190000,0,0,850,727040,989608,0,www.opensecrets.org/orgs/summary.php?id=D000000750
2022,D000022574,Stanford University Medical Center,5000,5000,0,0,0,5000,0,0,0,0,0,5000,0,0,www.opensecrets.org/orgs/summary.php?id=D000022574
2020,D000071682,Stanford University Press,941,941,0,0,0,918,0,0,0,0,0,0,941,0,www.opensecrets.org/orgs/summary.php?id=D000071682
2022,D000066599,Phibro LLC,20500,18000,0,2500,0,15000,3000,30000,0,0,0,0,15500,0,www.opensecrets.org/orgs/summary.php?id=D000066599
2022,D000021942,Covington & Burling,774167,474817,261500,37850,0,584306,142448,0,0,0,25,137681,540436,0,www.opensecrets.org/orgs/summary.php?id=D000021942
2022,D000043414,Covington Capital,1000,1000,0,0,0,0,1000,0,0,0,0,0,1000,0,www.opensecrets.org/orgs/summary.php?id=D000043414
2022,D000093539,Covington Civil & Environmental,11800,11800,0,0,0,0,11800,0,0,0,0,0,11800,0,www.opensecrets.org/orgs/summary.php?id=D000093539
2020,D000071828,Covington Group,2047336,1269836,0,777500,0,1266086,750,0,0,0,0,969983,286853,0,www.opensecrets.org/orgs/summary.php?id=D000071828
2022,D000081974,Neurological Surgery PC,9500,9500,0,0,0,3500,6000,120000,0,0,0,0,9500,0,www.opensecrets.org/orgs/summary.php?id=D000081974
2022,D000024207,Auto Care Assn,684000,0,679000,5000,0,328000,351000,325000,0,0,0,45000,600000,0,www.opensecrets.org/orgs/summary.php?id=D000024207
2022,D000032046,Booz Allen Hamilton,274155,136200,134000,3955,0,148458,119942,380000,0,0,165,57012,204093,0,www.opensecrets.org/orgs/summary.php?id=D000032046
2022,D000085495,Butler Amusements,21412,21412,0,0,0,20412,1000,0,0,0,0,0,21412,0,www.opensecrets.org/orgs/summary.php?id=D000085495
2022,D000025483,Devon Energy,2245111,707111,-7500,1545500,0,2835,695772,200000,0,0,0,477344,192217,0,www.opensecrets.org/orgs/summary.php?id=D000025483
2022,D000071910,L3Harris Technologies,2031824,333506,1693500,4818,0,1065410,958902,2390000,0,0,1354,381502,1127489,0,www.opensecrets.org/orgs/summary.php?id=D000071910
2022,D000065181,Votesane PAC,4537973,4537973,0,0,0,1723210,2814763,0,0,0,0,394000,4143973,0,www.opensecrets.org/orgs/summary.php?id=D000065181
2022,D000029842,Whirlpool Corp,9269,11519,-2500,250,0,6086,2933,340000,0,0,0,1957,6797,0,www.opensecrets.org/orgs/summary.php?id=D000029842
2022,D000023903,American Academy of Family Physicians,479750,1250,478500,0,0,278250,201500,1703714,0,0,0,120250,328500,0,www.opensecrets.org/orgs/summary.php?id=D000023903
2022,D000026966,"Keating, Muething & Klekamp",138475,106475,3000,29000,0,9250,100225,0,0,0,0,16000,83475,0,www.opensecrets.org/orgs/summary.php?id=D000026966
2022,D000025122,Consumer Technology Assn,247910,8610,239300,0,0,102260,145650,1970000,0,0,0,47710,159950,0,www.opensecrets.org/orgs/summary.php?id=D000025122
2022,D000023991,American Peanut Shellers Assn,106750,0,106750,0,0,37500,69250,102340,0,0,0,0,95750,0,www.opensecrets.org/orgs/summary.php?id=D000023991
2022,D000030688,University of San Diego,28101,26701,0,1400,0,22296,4405,20000,0,0,1095,5280,20131,0,www.opensecrets.org/orgs/summary.php?id=D000030688
2022,D000035922,Mischer Investments,274511,174511,0,100000,0,11600,162911,0,0,0,0,97200,65711,0,www.opensecrets.org/orgs/summary.php?id=D000035922
2022,D000032451,Centerview Partners,909997,759997,0,150000,0,719288,40709,0,0,0,2900,285945,432852,0,www.opensecrets.org/orgs/summary.php?id=D000032451
2022,D000030548,Triwest Healthcare Alliance,50370,49120,1000,250,0,37035,13085,60000,0,0,0,105,44885,0,www.opensecrets.org/orgs/summary.php?id=D000030548
2022,D000068060,ClearPath Foundation,1237100,1187100,0,50000,0,0,1187100,750000,0,0,0,54300,619300,0,www.opensecrets.org/orgs/summary.php?id=D000068060
2022,D000000145,Seafarers International Union,1079014,16141,1062873,0,0,538370,538144,360000,0,0,0,149600,836914,0,www.opensecrets.org/orgs/summary.php?id=D000000145
2022,D000000262,Investment Co Institute,1117827,24327,1093500,0,0,609827,508000,1960000,0,0,0,127077,780750,0,www.opensecrets.org/orgs/summary.php?id=D000000262
2022,D000087891,Northwest Biotherapeutics,59000,60000,0,-1000,0,59000,0,0,0,0,0,0,45000,0,www.opensecrets.org/orgs/summary.php?id=D000087891
2022,D000025328,Democracy Engine,12179670,12179673,0,-3,0,11322300,856373,0,0,0,140,1146767,10982106,0,www.opensecrets.org/orgs/summary.php?id=D000025328
2022,D000033433,Emory University,869066,769174,0,99892,0,738983,29894,235000,0,0,1889,381988,352876,0,www.opensecrets.org/orgs/summary.php?id=D000033433
2022,D000039925,Emory University Clinic,790,790,0,0,0,705,85,0,0,0,0,705,85,0,www.opensecrets.org/orgs/summary.php?id=D000039925
2022,D000039915,Emory University Healthcare,29074,29074,0,0,0,22861,6183,0,0,0,0,4626,24448,0,www.opensecrets.org/orgs/summary.php?id=D000039915
2022,D000037837,Emory University Hospital,10944,10551,0,393,0,9951,555,0,0,0,0,590,9724,0,www.opensecrets.org/orgs/summary.php?id=D000037837
2022,D000000445,HCA Inc,706125,229117,344000,133008,0,262704,309612,2070000,0,0,407,70090,410398,0,www.opensecrets.org/orgs/summary.php?id=D000000445
2022,D000053122,Liquid Environmental Solutions,63600,8600,0,55000,0,8600,0,0,0,0,0,0,8600,0,www.opensecrets.org/orgs/summary.php?id=D000053122
2022,D000000081,United Parcel Service,2812156,456696,2340505,14955,0,1082555,1704548,5530000,0,0,322,231047,1762979,0,www.opensecrets.org/orgs/summary.php?id=D000000081
2022,D000022043,Ingram Industries,273148,186848,71300,15000,0,36590,221558,100000,0,0,25,73215,159700,0,www.opensecrets.org/orgs/summary.php?id=D000022043
2022,D000000065,American Assn for Justice,3553134,25634,2117500,1410000,0,2076134,61000,2080000,0,0,0,102590,1855544,0,www.opensecrets.org/orgs/summary.php?id=D000000065
2022,D000022201,Progeny Systems,30920,30920,0,0,0,18695,12225,120000,0,0,0,3733,27187,0,www.opensecrets.org/orgs/summary.php?id=D000022201
2022,D000055838,Quadric Group,11512,11512,0,0,0,11512,0,0,0,0,0,2050,9462,0,www.opensecrets.org/orgs/summary.php?id=D000055838
2022,D000000619,Target Corp,622567,182926,434900,4741,0,278533,335695,1370000,0,0,396,72816,475593,0,www.opensecrets.org/orgs/summary.php?id=D000000619
2022,D000037750,St George's University,160865,160865,0,0,0,160865,0,120000,0,0,0,73000,77865,0,www.opensecrets.org/orgs/summary.php?id=D000037750
2022,D000037791,State of Connecticut,192765,190082,0,2683,0,134555,55402,0,0,0,425,77271,110611,0,www.opensecrets.org/orgs/summary.php?id=D000037791
2022,D000035370,LHC Group,752133,569283,108400,74450,0,245610,432073,890000,0,0,0,288450,289763,0,www.opensecrets.org/orgs/summary.php?id=D000035370
2022,D000029292,Susan B Anthony List,339279,103219,233060,3000,0,5000,331279,550000,2416820,0,0,850,332929,0,www.opensecrets.org/orgs/summary.php?id=D000029292
2022,D000089153,Certain Inc,183870,183870,0,0,0,178070,0,0,0,0,0,32170,126700,0,www.opensecrets.org/orgs/summary.php?id=D000089153
2022,D000076590,Veterans United Home Loans,179346,179356,0,-10,0,93400,85956,0,0,0,1500,3200,176156,0,www.opensecrets.org/orgs/summary.php?id=D000076590
2022,D000021935,Cooney & Conway,480149,479649,0,500,0,479649,0,0,0,0,0,117500,314344,0,www.opensecrets.org/orgs/summary.php?id=D000021935
2022,D000070626,Plunkett Cooney PC,7206,6793,0,413,0,2383,4410,0,0,0,0,790,6003,0,www.opensecrets.org/orgs/summary.php?id=D000070626
2022,D000053952,Morgan State University,64082,54082,0,10000,0,53229,853,60000,0,0,0,3410,50672,0,www.opensecrets.org/orgs/summary.php?id=D000053952
2022,D000087947,Bob Ciasulli Auto Group,7000,7000,0,0,0,7000,0,0,0,0,0,0,7000,0,www.opensecrets.org/orgs/summary.php?id=D000087947
2022,D000079864,Joel M Weissman PA,14100,14100,0,0,0,14100,0,0,0,0,0,0,14100,0,www.opensecrets.org/orgs/summary.php?id=D000079864
2022,D000000568,National Chicken Council,338000,0,338000,0,0,65000,273000,260000,0,0,0,0,265500,0,www.opensecrets.org/orgs/summary.php?id=D000000568
2022,D000036372,Okonite Co,12072,12072,0,0,0,10800,1272,0,0,0,0,972,11100,0,www.opensecrets.org/orgs/summary.php?id=D000036372
2022,D000072017,Walton Family Foundation,835850,415850,0,420000,0,255250,157700,0,0,0,0,107250,293600,0,www.opensecrets.org/orgs/summary.php?id=D000072017
2022,D000027799,National Assn of Development Companies,6000,0,6000,0,0,5000,1000,76345,0,0,0,0,6000,0,www.opensecrets.org/orgs/summary.php?id=D000027799
2022,D000061156,Entertrainment Junction,365493,360493,0,5000,0,0,365493,0,0,0,0,203036,113145,0,www.opensecrets.org/orgs/summary.php?id=D000061156
2022,D000070577,TVV Capital,96250,96250,0,0,0,96250,0,0,0,0,0,73000,23250,0,www.opensecrets.org/orgs/summary.php?id=D000070577
2022,D000073431,HBW Resources,38851,38851,0,0,0,7250,31601,0,0,0,500,750,37101,0,www.opensecrets.org/orgs/summary.php?id=D000073431
2022,D000000115,Microsoft Corp,5375342,3817173,1113400,444769,0,3847472,1058097,5305263,0,0,839,2082074,2316367,0,www.opensecrets.org/orgs/summary.php?id=D000000115
2022,D000035294,Lazard Ltd,387381,372131,0,15250,0,270031,102100,0,0,0,0,76300,286231,0,www.opensecrets.org/orgs/summary.php?id=D000035294
2022,D000032370,Caribbean CAGE,15200,15200,0,0,0,15200,0,0,0,0,0,350,9850,0,www.opensecrets.org/orgs/summary.php?id=D000032370
2022,D000092780,Philatron Wire & Cable,17400,17400,0,0,0,17400,0,0,0,0,0,0,17400,0,www.opensecrets.org/orgs/summary.php?id=D000092780
2022,D000000066,Teamsters Union,2582740,60654,1695366,826720,0,1706048,51820,996611,17766,0,100,197574,1445874,0,www.opensecrets.org/orgs/summary.php?id=D000000066
2022,D000000609,Allen & Co,455650,439650,0,16000,0,430950,2900,0,0,0,0,98000,325650,0,www.opensecrets.org/orgs/summary.php?id=D000000609
2022,D000071972,Allen & Co of Florida,1001,1001,0,0,0,0,1001,0,0,0,0,375,626,0,www.opensecrets.org/orgs/summary.php?id=D000071972
2020,D000076582,Allen & Gooch,225,225,0,0,0,225,0,0,0,0,0,0,225,0,www.opensecrets.org/orgs/summary.php?id=D000076582
2022,D000031405,Allen & Overy,98780,98780,0,0,0,61280,37500,0,0,0,0,53818,44962,0,www.opensecrets.org/orgs/summary.php?id=D000031405
2022,D000070586,Allen Alevy & Assoc,27000,27000,0,0,0,2900,24100,0,0,0,0,0,27000,0,www.opensecrets.org/orgs/summary.php?id=D000070586
2020,D000046660,Allen Brothers,361,361,0,0,0,310,51,0,0,0,0,75,286,0,www.opensecrets.org/orgs/summary.php?id=D000046660
2022,D000085525,Allen Brothers PLLC,5750,500,0,5250,0,500,0,0,0,0,0,0,500,0,www.opensecrets.org/orgs/summary.php?id=D000085525
2022,D000083051,Allen Co (Kentucky),10500,10500,0,0,0,10000,500,0,0,0,0,10500,0,0,www.opensecrets.org/orgs/summary.php?id=D000083051
2022,D000067770,"Allen County, IN",0,0,0,0,0,0,0,40000,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000067770
2022,D000074002,Allen Exploration,5800,5800,0,0,0,0,5800,0,0,0,0,0,5800,0,www.opensecrets.org/orgs/summary.php?id=D000074002
2014,D000065354,Allen Express,250,250,0,0,0,0,250,0,0,0,0,0,250,0,www.opensecrets.org/orgs/summary.php?id=D000065354
2020,D000031408,Allen Group,10429,10429,0,0,0,10044,385,0,0,0,0,195,10234,0,www.opensecrets.org/orgs/summary.php?id=D000031408
2022,D000046662,Allen Institute for Brain Science,760,760,0,0,0,760,0,90000,0,0,0,260,500,0,www.opensecrets.org/orgs/summary.php?id=D000046662
2022,D000086361,Allen Lawrence & Assoc,19850,19850,0,0,0,14250,5600,0,0,0,0,4200,15650,0,www.opensecrets.org/orgs/summary.php?id=D000086361
2022,D000081327,Allen Lund Co,8107,7107,0,1000,0,0,7107,0,0,0,0,2921,4096,0,www.opensecrets.org/orgs/summary.php?id=D000081327
2022,D000068804,Allen Morris Co,500,500,0,0,0,0,500,0,0,0,0,0,500,0,www.opensecrets.org/orgs/summary.php?id=D000068804
2020,D000031409,Allen Schulman & Assoc,238,238,0,0,0,238,0,0,0,0,0,0,238,0,www.opensecrets.org/orgs/summary.php?id=D000031409
2018,D000046664,Allen Trucking,13900,3900,0,10000,0,0,3900,0,0,0,0,0,3900,0,www.opensecrets.org/orgs/summary.php?id=D000046664
2014,D000046665,Allen Vanguard Corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000046665
2014,D000073883,Allen West Guardian Fund,112000,0,112000,0,0,0,112000,0,872380,0,0,0,112000,0,www.opensecrets.org/orgs/summary.php?id=D000073883
2022,D000031411,"Allen, Allen et al",15812,15812,0,0,0,15812,0,0,0,0,0,3500,12312,0,www.opensecrets.org/orgs/summary.php?id=D000031411
2022,D000031869,"Beasley, Allen et al",191721,141721,0,50000,0,72921,68800,0,0,0,0,27250,114471,0,www.opensecrets.org/orgs/summary.php?id=D000031869
2022,D000032046,Booz Allen Hamilton,274155,136200,134000,3955,0,148458,119942,380000,0,0,165,57012,204093,0,www.opensecrets.org/orgs/summary.php?id=D000032046
2022,D000060912,David Allen Co,20510,20510,0,0,0,0,20510,0,0,0,0,0,20510,0,www.opensecrets.org/orgs/summary.php?id=D000060912
2020,D000075038,DT Allen Contracting,6600,6600,0,0,0,6600,0,45000,0,0,0,0,6600,0,www.opensecrets.org/orgs/summary.php?id=D000075038
2022,D000042647,Ethan Allen Inc,6345,6245,0,100,0,5110,1135,0,0,0,0,1817,3610,0,www.opensecrets.org/orgs/summary.php?id=D000042647
2022,D000042543,Ethan Allen Interiors,250,250,0,0,0,0,250,0,0,0,0,0,250,0,www.opensecrets.org/orgs/summary.php?id=D000042543
2018,D000051272,George Allen Strategies,2003,2003,0,0,0,0,2003,0,0,0,0,0,2003,0,www.opensecrets.org/orgs/summary.php?id=D000051272
2018,D000087554,Hallen Construction,50,50,0,0,0,0,50,0,0,0,0,50,0,0,www.opensecrets.org/orgs/summary.php?id=D000087554
2022,D000034479,"Hinckley, Allen & Snyder",41972,41265,0,707,0,41265,0,0,0,0,0,1500,39565,0,www.opensecrets.org/orgs/summary.php?id=D000034479
2012,D000053116,Lion-Vallen Industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000053116
2022,D000035700,McAllen Anesthesia Consultants,32620,32620,0,0,0,0,32620,0,0,0,0,4200,26045,0,www.opensecrets.org/orgs/summary.php?id=D000035700
2022,D000092232,McAllen Construction,2900,2900,0,0,0,2900,0,0,0,0,0,0,2900,0,www.opensecrets.org/orgs/summary.php?id=D000092232
2020,D000082848,McAllen Economic Development Corp,1975,1975,0,0,0,75,1900,0,0,0,0,25,1950,0,www.opensecrets.org/orgs/summary.php?id=D000082848
2022,D000053505,McAllen Stained Glass,14500,14500,0,0,0,14500,0,0,0,0,0,0,14500,0,www.opensecrets.org/orgs/summary.php?id=D000053505
2018,D000043832,McAllen Surgery,2700,2700,0,0,0,2700,0,0,0,0,0,0,2700,0,www.opensecrets.org/orgs/summary.php?id=D000043832
2022,D000035982,Moore & Van Allen,58461,57630,0,831,0,39675,17955,0,0,0,0,1000,55630,0,www.opensecrets.org/orgs/summary.php?id=D000035982
2022,D000098017,Robert Allen Law,18400,18400,0,0,0,0,18400,0,0,0,0,2800,10600,0,www.opensecrets.org/orgs/summary.php?id=D000098017
2022,D000095468,RW Allen LLC,9300,9300,0,0,0,0,9300,0,0,0,0,0,9300,0,www.opensecrets.org/orgs/summary.php?id=D000095468
2020,D000091571,Susan B Allen Memorial Hospital,74,74,0,0,0,70,0,0,0,0,0,0,70,0,www.opensecrets.org/orgs/summary.php?id=D000091571
2020,D000090214,Temple Allen Industries,125,125,0,0,0,125,0,0,0,0,0,0,125,0,www.opensecrets.org/orgs/summary.php?id=D000090214
2022,D000093947,Willis Allen Real Estate,26906,22605,0,4301,0,22305,300,0,0,0,966,1494,18686,0,www.opensecrets.org/orgs/summary.php?id=D000093947
2022,D000069447,Chevron Phillips Chemical,17422,14222,0,3200,0,7992,4997,40000,0,0,0,6251,5346,0,www.opensecrets.org/orgs/summary.php?id=D000069447
2020,D000050258,Dr Phillips Inc,70,70,0,0,0,0,70,0,0,0,0,50,20,0,www.opensecrets.org/orgs/summary.php?id=D000050258
2022,D000087769,Frank Phillips College,150,150,0,0,0,-50,200,0,0,0,0,-50,200,0,www.opensecrets.org/orgs/summary.php?id=D000087769
2022,D000034765,"Ivins, Phillips & Barker",3060,3060,0,0,0,3060,0,0,0,0,0,1360,1700,0,www.opensecrets.org/orgs/summary.php?id=D000034765
2012,D000035356,"Levy, Phillips & Konigsberg",102850,102850,0,0,0,101850,1000,0,0,0,0,91600,11250,0,www.opensecrets.org/orgs/summary.php?id=D000035356
2022,D000036668,Phillips & Cohen,14805,14805,0,0,0,14305,500,0,0,0,0,0,12305,0,www.opensecrets.org/orgs/summary.php?id=D000036668
2022,D000036669,Phillips & Jordan,38500,38500,0,0,0,21600,16900,0,0,0,0,200,28300,0,www.opensecrets.org/orgs/summary.php?id=D000036669
2022,D000019668,Phillips 66,546721,34894,476500,35327,0,170916,340378,2240000,0,0,0,13295,476862,0,www.opensecrets.org/orgs/summary.php?id=D000019668
2014,D000062891,Phillips Automotive,10400,10400,0,0,0,0,10400,0,0,0,0,0,10400,0,www.opensecrets.org/orgs/summary.php?id=D000062891
2022,D000091680,Phillips Collection,2010,2010,0,0,0,10,2000,0,0,0,0,0,2010,0,www.opensecrets.org/orgs/summary.php?id=D000091680
2022,D000036670,Phillips Development & Realty,19314,19314,0,0,0,0,19314,0,0,0,0,6000,13314,0,www.opensecrets.org/orgs/summary.php?id=D000036670
2012,D000062892,Phillips Dipisa & Assoc,250,250,0,0,0,0,250,0,0,0,0,0,250,0,www.opensecrets.org/orgs/summary.php?id=D000062892
2018,D000036671,Phillips Distilling,1050,1050,0,0,0,1050,0,0,0,0,0,0,1050,0,www.opensecrets.org/orgs/summary.php?id=D000036671
