CYCLE,ORGID,ORGNAME,TOTAL,INDIVS,PACS,SOFT,TOT527,DEMS,REPUBS,LOBBYING,OUTSIDE,MEMS_INVESTED,GAVE_TO_PAC,GAVE_TO_PARTY,GAVE_TO_527,GAVE_TO_CAND,SOURCE
2022,D000000064,National Education Assn,9912701,312861,2133845,7465995,0,2413984,24000,1400000,0,0,240,573784,1669790,0,www.opensecrets.org/orgs/summary.php?id=D000000064
2022,D000000461,Comcast Corp,6051074,3173345,2694000,183729,0,4176300,1693439,7360000,0,0,1425,1795472,3041526,0,www.opensecrets.org/orgs/summary.php?id=D000000461
2016,D000053481,Mauritius Sugar Syndicate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000053481
2022,D000029610,US Sugar,265416,108475,149441,7500,0,77000,180916,560000,0,0,0,7750,250166,0,www.opensecrets.org/orgs/summary.php?id=D000029610
2022,D000033503,Ergon Inc,389250,139250,0,250000,0,8700,130550,105000,0,0,0,20000,85150,0,www.opensecrets.org/orgs/summary.php?id=D000033503
2022,D000000085,Goldman Sachs,2316436,1780160,313500,222776,0,990223,1099892,1280000,0,0,2682,417484,1593804,0,www.opensecrets.org/orgs/summary.php?id=D000000085
2022,D000022217,Related Companies,943132,803132,0,140000,0,321457,481675,130000,0,0,0,382300,369332,0,www.opensecrets.org/orgs/summary.php?id=D000022217
2020,D000022396,Related Companies of California,250,250,0,0,0,250,0,0,0,0,0,0,250,0,www.opensecrets.org/orgs/summary.php?id=D000022396
2022,D000021951,DaVita Inc,1600751,241814,887550,471387,0,581310,567454,2130000,0,0,55,149188,773257,0,www.opensecrets.org/orgs/summary.php?id=D000021951
2022,D000095249,Modern Group (Texas),68000,68000,0,0,0,0,68000,0,0,0,0,0,58000,0,www.opensecrets.org/orgs/summary.php?id=D000095249
2022,D000024112,ArcelorMittal,24528,23628,0,900,0,13696,9932,0,0,0,35,11303,11516,0,www.opensecrets.org/orgs/summary.php?id=D000024112
2022,D000037815,State of Oregon,295140,288885,0,6255,0,213844,70901,243000,0,0,455,74582,202226,0,www.opensecrets.org/orgs/summary.php?id=D000037815
2022,D000036499,"Panza, Maurer & Maynard",26350,26350,0,0,0,20350,6000,0,0,0,0,0,26350,0,www.opensecrets.org/orgs/summary.php?id=D000036499
2022,D000055177,Palantir Technologies,196640,195790,0,850,0,180090,13400,1250000,0,0,0,4250,186540,0,www.opensecrets.org/orgs/summary.php?id=D000055177
2022,D000000172,MetLife Inc,680027,215050,460500,4477,0,338315,336814,980000,0,0,196,34229,557613,0,www.opensecrets.org/orgs/summary.php?id=D000000172
2022,D000089918,"Early, Sullivan et al",8146,6126,0,2020,0,2000,4126,0,0,0,0,3626,2500,0,www.opensecrets.org/orgs/summary.php?id=D000089918
